OBJECTID,VALUE,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_32,VALUE_33,VALUE_41,VALUE_42,VALUE_43,VALUE_46,VALUE_51,VALUE_52,VALUE_53,VALUE_64,VALUE_65,VALUE_66
11,46,31999999.999999963000000,8999999.999999988800000,999999.999999998840000,0.000000000000000,0.000000000000000,0.000000000000000,999999.999999998840000,10999999.999999987000000,0.000000000000000,17999999.999999978000000,360999999.999999580000000,30999999.999999963000000,710999999.999999170000000,9999999.999999988800000,0.000000000000000,2999999.999999996300000,35999999.999999955000000,0.000000000000000,0.000000000000000
12,51,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,142999999.999999820000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
13,52,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10999999.999999987000000,423999999.999999520000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
14,53,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2999999.999999996300000,0.000000000000000,57999999.999999933000000,2999999.999999996300000,0.000000000000000,0.000000000000000
15,64,3999999.999999995300000,3999999.999999995300000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3999999.999999995300000,52999999.999999940000000,15999999.999999981000000,269999999.999999700000000,0.000000000000000,0.000000000000000,0.000000000000000,529999999.999999400000000,0.000000000000000,0.000000000000000
16,65,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1999999.999999997700000,0.000000000000000
17,66,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,999999.999999998840000
18,111,188999999.999999790000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6999999.999999991600000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
19,112,1323999999.999998600000000,1999999.999999997700000,1999999.999999997700000,0.000000000000000,0.000000000000000,0.000000000000000,999999.999999998840000,999999.999999998840000,0.000000000000000,0.000000000000000,1999999.999999997700000,1999999.999999997700000,2999999.999999996300000,18999999.999999978000000,6999999.999999991600000,19999999.999999978000000,0.000000000000000,0.000000000000000,0.000000000000000
20,113,6207999999.999992400000000,2999999.999999996300000,7999999.999999990700000,0.000000000000000,999999.999999998840000,0.000000000000000,0.000000000000000,999999.999999998840000,0.000000000000000,6999999.999999991600000,10999999.999999987000000,17999999.999999978000000,17999999.999999978000000,94999999.999999896000000,11999999.999999985000000,29999999.999999966000000,13999999.999999983000000,0.000000000000000,0.000000000000000
21,121,0.000000000000000,54999999.999999933000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
22,122,0.000000000000000,879999999.999998930000000,1999999.999999997700000,0.000000000000000,1999999.999999997700000,0.000000000000000,999999.999999998840000,0.000000000000000,0.000000000000000,0.000000000000000,999999.999999998840000,1999999.999999997700000,3999999.999999995300000,15999999.999999981000000,999999.999999998840000,18999999.999999978000000,0.000000000000000,0.000000000000000,0.000000000000000
23,123,5999999.999999992500000,795999999.999999050000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1999999.999999997700000,2999999.999999996300000,2999999.999999996300000,27999999.999999966000000,3999999.999999995300000,6999999.999999991600000,1999999.999999997700000,0.000000000000000,0.000000000000000
